Bin	Sum_R2	SumSq_R2	N_Pairs
0	2.62821e+06	2.04294e+06	7516522
9	284008	1912712
1000	1.91578e+06	1.4958e+06	5303944
2000	1.70654e+06	1.33221e+06	4719288
3000	1.55371e+06	1.2118e+06	4309078
4000	1.42776e+06	1.11238e+06	3972756
5000	1.32505e+06	1.03226e+06	3685986
6000	1.24789e+06	973626	3449406
7000	1.18182e+06	922053	3279534
8000	1.11117e+06	863829	3120062
9000	1.07872e+06	837858	3026467
10000	1.0536e+06	816833	2963012
11000	1.02443e+06	791885	2901943
12000	1.0122e+06	781749	2876598
13000	1.01047e+06	781202	2858607
14000	997543	769762	2841345
15000	986364	760870	2815431
16000	983942	758728	2816834
17000	972092	749591	2782215
18000	962715	742732	2744561
19000	950731	732670	2708508
20000	947261	731107	2691691
21000	937407	722542	2668131
22000	938865	723744	2667799
23000	931030	717123	2648875
25000	926814	713332	2654113
26000	928053	714862	2653155
27000	931697	718706	2649390
28000	926263	714781	2634065
29000	922247	710029	2644136
30000	920316	709081	2632407
31000	916664	706316	2624984
33000	918711	708004	2625339
34000	918109	708049	2605945
35000	910570	700904	2606791
36000	897847	690614	2587128
37000	897045	690364	2585117
38000	900414	693381	2593104
39000	900027	693152	2587882
40000	897896	690381	2592507
41000	897156	690643	2583483
42000	899695	693592	2583324
43000	898953	693188	2572563
44000	900681	695416	2569989
45000	907703	701206	2584881
46000	906024	698846	2588730
47000	909999	702972	2593003
48000	909257	702322	2594925
50000	915018	708302	2600173
52000	911595	705121	2604245
53000	903517	698221	2586722
54000	901569	694990	2601131
55000	893015	688100	2585073
56000	896283	691803	2589442
57000	888470	685465	2564002
58000	883859	681815	2545682
59000	872586	672319	2517933
60000	858131	657979	2511229
62000	847307	648716	2495767
63000	840152	642295	2483457
64000	835118	638457	2471938
65000	833914	638130	2462772
66000	833292	638436	2458802
67000	834461	638675	2463758
68000	835067	638398	2468503
69000	826720	631046	2457861
70000	831808	634378	2483496
71000	822568	626075	2466942
72000	817933	622308	2464069
73000	820243	624671	2457212
74000	819888	624402	2457742
75000	823682	628820	2456457
76000	825608	630993	2452312
77000	824781	629130	2463146
78000	825736	629494	2468859
79000	827671	632095	2458349
80000	827714	631902	2473374
81000	824086	629719	2448481
82000	824904	630292	2451167
83000	826017	630979	2452630
84000	818532	624817	2425335
85000	810515	617245	2421077
86000	805326	612818	2417600
88000	799851	607080	2420399
89000	802679	609054	2428836
90000	801678	608264	2424095
91000	799393	606235	2426688
92000	803638	609787	2433823
94000	793476	600363	2418574
95000	794549	602881	2413406
96000	793803	602099	2415597
97000	786872	597229	2391862
98000	781899	594233	2369870
99000	784958	595993	2377510
100000	782757	594193	2374594
101000	782530	594619	2368750
102000	776397	588944	2360879
103000	774442	586477	2369202
105000	763455	576886	2356738
106000	760385	574306	2358904
107000	761789	575239	2365587
108000	754930	569426	2347990
109000	754216	568873	2348902
110000	752743	567806	2332914
111000	752016	567816	2325419
112000	750274	565227	2334626
113000	743975	559590	2331018
114000	745450	561526	2318414
115000	745698	561804	2314995
117000	747876	563569	2317324
118000	746175	562077	2323898
119000	744642	559593	2331178
121000	741528	556320	2334487
122000	734319	550468	2312218
123000	731244	547552	2313109
125000	735647	550058	2336036
126000	735576	550396	2322647
127000	735413	550593	2318876
128000	736024	551128	2314513
129000	734653	548752	2327886
131000	717453	533742	2308308
132000	711990	529693	2301435
133000	708824	527129	2297446
134000	708638	527760	2301873
135000	706362	525179	2301884
136000	703761	522795	2293589
137000	706627	526264	2286009
138000	696651	518318	2257409
139000	695994	518129	2253745
140000	697594	519515	2250708
141000	702632	524225	2259640
142000	706240	527959	2260636
143000	707250	528533	2263514
144000	699972	522142	2250310
146000	694218	517258	2241618
147000	692863	515733	2247912
148000	692146	515685	2247464
149000	695763	519227	2253421
150000	699253	522685	2249764
151000	698304	521248	2256286
152000	696998	520789	2254750
154000	690812	514759	2239570
155000	698551	520988	2256232
156000	699324	522852	2245953
157000	697122	519637	2254102
158000	696461	519170	2259076
159000	691904	515856	2248677
160000	683082	508149	2231413
161000	684029	509168	2229999
162000	681748	508138	2212479
163000	678492	505313	2215945
164000	682037	507479	2232833
165000	679535	504992	2231744
166000	679818	504369	2239893
167000	679819	503970	2251155
168000	678431	503507	2237326
169000	681027	506093	2235168
170000	681057	505786	2243606
171000	680628	505346	2239546
172000	680122	505126	2236839
173000	678343	503155	2238424
174000	681318	505788	2241947
175000	686947	510647	2250426
177000	689592	513140	2253566
178000	681964	506570	2234854
179000	683326	507311	2234330
180000	683366	506802	2244642
181000	682166	505564	2249316
182000	676075	500660	2234698
183000	678094	502886	2236206
184000	674653	500194	2228282
185000	673385	498858	2226743
186000	671095	497321	2218476
187000	670158	497426	2211656
188000	669161	497206	2199930
189000	671897	498391	2223473
190000	681089	506864	2240291
191000	676476	503882	2224661
192000	669802	497485	2208389
193000	662200	491577	2187555
194000	663249	492385	2197138
195000	658383	488640	2183351
196000	660278	490010	2186989
197000	663244	492752	2199528
198000	658713	488628	2198334
199000	658125	487641	2205305
200000	657416	486885	2202685
201000	648811	478924	2193270
202000	649142	479331	2198052
203000	647639	477902	2203494
204000	644504	475128	2192160
205000	639991	470988	2183655
206000	642575	474184	2172643
207000	646175	476732	2180876
208000	644942	475754	2182920
209000	644006	474806	2179692
210000	644709	475029	2183557
211000	641134	471254	2185550
212000	636833	467836	2174714
213000	638500	468952	2182095
214000	641160	470984	2185890
215000	638180	468291	2181824
216000	636010	466735	2176799
217000	638442	468508	2185990
218000	635902	466335	2189305
219000	635338	466031	2182629
220000	634997	465540	2185906
221000	633994	465010	2177868
222000	630324	462136	2167826
224000	637042	467746	2180800
225000	640386	471110	2180248
226000	641298	471976	2171626
227000	639249	470503	2168213
228000	642593	473488	2173131
229000	643764	474361	2179122
230000	643247	473053	2179988
231000	635995	467294	2165273
232000	639892	470971	2170674
233000	637911	470026	2158058
234000	639452	471382	2159222
235000	636901	469003	2162402
236000	632565	465872	2147204
237000	624213	457971	2140773
238000	620028	454301	2142032
239000	618510	453640	2136535
240000	614912	450429	2131877
241000	617459	452200	2145457
242000	622815	456582	2169697
243000	620375	454450	2154928
244000	618694	452365	2152901
245000	620479	453890	2160857
246000	615534	449020	2151620
247000	619306	452520	2159418
248000	628212	460690	2174243
249000	620534	453539	2156860
250000	614561	448634	2142962
251000	611161	446427	2133998
252000	614687	449705	2139580
253000	612629	447507	2138000
254000	607498	443166	2125218
255000	615758	450974	2136425
257000	615742	450147	2157639
258000	613186	447931	2153205
259000	618119	452836	2159197
261000	618576	452520	2169169
262000	618056	452207	2171826
263000	613350	448136	2169879
264000	607643	443301	2155018
265000	610147	445679	2158079
266000	612259	447510	2158613
267000	614664	449446	2160624
268000	614428	449356	2158536
269000	616996	451944	2154193
270000	616172	451442	2155227
271000	614243	449563	2148377
272000	620868	456221	2155108
273000	623201	458039	2160586
274000	620770	456012	2151839
275000	620714	455481	2158028
276000	621675	456513	2162956
277000	615472	451327	2154405
278000	611650	447548	2153323
279000	606573	443708	2127945
280000	608156	445973	2125859
281000	601500	440382	2105780
282000	603414	442166	2115263
283000	606392	445497	2112078
284000	605182	445186	2096611
285000	604988	444074	2103428
286000	607049	446088	2117432
287000	609649	448636	2118480
288000	610764	449136	2124641
289000	607772	447094	2119863
290000	608505	446447	2138094
291000	607326	445801	2130287
292000	602550	440945	2128966
293000	600517	438910	2135529
294000	597826	434983	2144978
295000	590929	428744	2128020
296000	585781	423951	2124693
297000	587692	424907	2140069
298000	585177	422376	2140764
299000	584439	421513	2134925
300000	578103	415756	2122964
301000	583821	421123	2137196
302000	584078	421554	2139650
304000	585748	423063	2127394
305000	583849	421570	2126717
306000	585239	422402	2132073
307000	587888	425216	2138533
308000	591479	428902	2137300
309000	588063	425701	2136422
310000	584417	421720	2139183
311000	587522	424724	2143747
312000	589220	425166	2169137
313000	583353	420904	2151212
314000	583551	422164	2136198
316000	584164	421999	2146396
317000	591373	428971	2152247
318000	601286	438284	2165655
319000	602572	440775	2147179
320000	599689	437576	2153240
321000	601330	439785	2140948
322000	598792	437701	2131271
323000	599516	438014	2137869
324000	599634	438350	2139483
325000	597080	436552	2126013
326000	599401	438464	2139010
327000	594213	432416	2141453
328000	586256	425963	2121563
330000	585106	425502	2111874
331000	586077	425355	2117953
332000	585141	426043	2098914
333000	582378	422233	2102263
334000	575626	416490	2089284
335000	571615	413700	2078316
336000	574262	416129	2091442
337000	577187	418174	2101579
338000	574703	415439	2098176
339000	574524	415179	2095625
340000	577599	417670	2110313
341000	580069	419934	2114902
342000	581210	421395	2114616
343000	573577	415036	2097240
344000	573788	414938	2097686
345000	574946	415620	2098390
346000	578388	418719	2108494
347000	580046	420384	2105038
348000	579282	418773	2112441
349000	577255	417257	2117148
350000	575718	415842	2111141
351000	574004	413488	2124460
352000	574308	414468	2118473
353000	576895	416465	2117419
354000	571290	412347	2105011
355000	568468	409878	2105111
356000	572541	413803	2109285
357000	568077	411488	2089208
358000	561036	404991	2075805
359000	555143	399672	2067737
360000	558170	402621	2069086
361000	560227	404812	2070860
362000	563650	408300	2067916
363000	565726	409415	2079870
364000	565341	409652	2069228
365000	564451	408361	2072126
366000	562841	406586	2077037
368000	557385	402339	2052512
369000	561760	406961	2054867
370000	556050	401632	2050212
371000	554475	399724	2049801
372000	555706	400803	2060686
373000	543717	390292	2031542
374000	547992	393689	2052805
375000	544221	390597	2034198
376000	548989	394847	2045818
377000	543308	390186	2031936
378000	547674	394081	2036364
379000	549467	395877	2043275
380000	550047	395863	2052697
381000	548849	394113	2061040
383000	545165	390421	2057519
384000	541193	387010	2054034
385000	539639	384553	2061507
386000	541421	385908	2071908
387000	541792	386505	2063836
388000	543275	388264	2063104
389000	545020	389711	2058742
390000	546958	391927	2059150
391000	545307	389681	2061232
392000	541885	386510	2066635
393000	540332	384968	2066496
394000	537406	383053	2054556
395000	532969	379507	2050072
396000	528418	375045	2043612
398000	525473	373461	2036064
399000	528509	375955	2033915
400000	528091	375689	2027259
401000	529756	377265	2037034
402000	532737	379241	2049827
403000	529975	377334	2040695
404000	532126	378915	2041198
405000	533155	380454	2039072
406000	534423	381753	2044019
407000	528947	377166	2029925
408000	523845	373002	2023014
409000	522704	371514	2027488
410000	521617	371212	2016569
411000	527690	375847	2038198
412000	525681	374686	2031084
413000	522910	371817	2034901
414000	523303	371674	2041707
415000	521410	370495	2028199
416000	521421	370302	2040612
417000	518284	367854	2030678
418000	518066	367631	2020150
419000	516219	365860	2024310
420000	519432	368502	2026999
421000	519957	369023	2026804
422000	518971	368827	2016528
423000	515967	365513	2025644
424000	514184	364087	2015985
425000	511944	362533	2003409
426000	511156	360928	2012589
427000	515822	365872	2008952
428000	520051	369368	2020112
429000	520109	368315	2028476
430000	514513	363061	2031167
431000	515183	363813	2034135
432000	515228	364921	2029038
433000	514675	363654	2038585
434000	512383	360795	2048645
435000	511286	359705	2043803
436000	508044	356353	2042268
437000	508045	357402	2037750
438000	507918	357207	2033220
439000	505782	355898	2022116
440000	509736	358361	2025933
441000	503802	352653	2027618
442000	501661	350928	2028137
443000	499105	348116	2027729
444000	500093	349075	2017128
445000	500415	349980	2008215
446000	498538	347518	2013756
447000	498330	347635	2010979
449000	496617	346360	2011902
450000	495851	344668	2015976
451000	493262	342930	2008528
452000	496149	344749	2013669
453000	494403	343970	2001514
454000	491423	341398	1989730
455000	486061	337053	1970527
456000	485654	336039	1974566
457000	486589	336797	1984747
459000	485093	336604	1973460
460000	488214	339673	1981550
461000	493551	344228	1995040
462000	492827	343211	1996878
463000	494981	345753	1991701
464000	500457	350553	2009682
465000	496538	347233	1995767
466000	494549	345226	1994082
467000	494937	345793	1994014
468000	493141	344980	1979644
469000	492484	344007	1986898
470000	489360	340812	1983192
471000	489723	341165	1974486
472000	487335	339907	1966300
473000	489856	341715	1973020
474000	491231	342600	1985587
475000	491220	341697	1996598
476000	491607	342282	1988570
477000	488161	339153	1987639
478000	482939	334747	1980244
479000	486226	336466	1995851
480000	486314	337428	1987626
482000	489723	341543	1975643
483000	491181	342044	1984931
484000	488635	339862	1984069
485000	491601	342151	2000852
486000	493127	343176	1999266
487000	492666	342946	1994403
488000	496401	346247	2008271
489000	492889	343431	1995673
490000	492474	342832	2011256
491000	490495	341667	2000318
492000	494202	344836	2011609
493000	495276	345400	2016634
494000	494739	345455	2005169
495000	492667	344521	2006040
496000	489151	341628	1993055
497000	490729	343473	2002258
499000	486181	338995	2000888
500000	483255	337193	1981971
501000	479574	334144	1968077
502000	469857	325493	1957391
503000	470892	325429	1959899
504000	471056	325651	1964714
505000	468843	322957	1962304
507000	465053	319381	1959524
508000	462094	316766	1957510
509000	458573	313788	1951635
510000	458318	314013	1950623
511000	461849	316925	1961229
512000	462884	318340	1958038
513000	461837	316836	1961981
514000	461740	318125	1952890
515000	469494	325056	1967932
516000	470310	325412	1978450
517000	470897	325345	1993286
518000	473631	327971	1990408
519000	472425	326833	1983376
520000	474466	328246	1995364
521000	476866	330583	1993683
522000	480929	333521	2012288
523000	480750	333034	2023877
524000	481135	334042	2014624
525000	475526	329981	1998998
526000	473670	328150	1988206
527000	477394	330366	1996353
528000	480027	332465	2002478
529000	482997	335475	2006306
531000	480611	333633	1996762
532000	488431	340605	2002518
533000	481364	334090	1995151
534000	476577	329561	1986104
535000	477160	329706	1985463
536000	471362	324619	1981687
537000	474932	327880	1991927
538000	478209	331552	1992295
539000	482874	335840	1997660
540000	484532	337396	2000484
541000	478480	332454	1976402
542000	480749	334602	1981917
543000	480236	334049	1988875
544000	480924	334709	1988702
545000	481038	335038	1985737
546000	476874	331439	1972100
547000	479701	333852	1976614
548000	478821	332322	1973436
549000	480946	334371	1978832
550000	477273	331011	1977306
551000	474476	328859	1975640
552000	475934	330755	1968870
553000	477672	331309	1991091
554000	473564	327661	1990324
555000	472056	325907	1995192
556000	469113	322995	1992775
557000	467094	321491	1979405
558000	467591	321973	1975756
559000	471332	325721	1982372
560000	474926	329232	1986131
561000	472760	326913	1987310
562000	469944	324901	1968220
563000	475998	329944	1985102
564000	475287	329207	1996208
565000	472398	326523	1975954
566000	480735	334296	1984286
567000	480651	334384	1981341
568000	479527	333849	1976165
569000	477009	330508	1989222
570000	475656	329892	1990967
571000	484093	337936	2000100
572000	481227	335180	2002035
574000	489995	342634	2019236
575000	486096	339359	2015837
576000	481847	335749	1993362
577000	483276	336986	1998753
578000	484462	338103	2006509
579000	487089	340676	2006400
580000	484075	337553	2009613
581000	485270	340063	1989712
582000	492722	345956	2005475
583000	492756	345558	2011996
584000	484978	338477	2008363
585000	482960	336224	1996056
586000	479436	332409	2002275
587000	473953	328072	1991319
588000	472927	327251	1991826
589000	472278	326814	1984116
590000	471567	326276	1980488
591000	476787	330810	1991782
592000	478948	332999	1990497
593000	478591	333393	1982073
594000	480020	334734	1987124
595000	475935	331948	1982673
596000	475601	332004	1974014
597000	476299	332366	1972246
598000	477669	333382	1980900
599000	475517	331019	1991657
600000	473352	328715	1991901
601000	470418	326856	1974849
602000	469963	325774	1979304
603000	470056	325207	1993627
604000	466945	322807	1976779
605000	469081	325470	1970994
606000	467439	323655	1975516
607000	463083	319823	1966792
608000	465886	322102	1979941
609000	469478	325677	1988203
610000	467172	323568	1979274
611000	469577	324838	1997495
612000	468981	324283	1989372
613000	472333	327261	1996803
614000	469238	324372	1991540
615000	471722	325917	1996693
616000	470788	325703	1993501
617000	472905	327412	2005579
618000	474581	330490	1989062
619000	476671	332249	1991818
620000	477017	332785	1995920
621000	470476	326298	1986971
622000	466612	322831	1984025
623000	465039	321680	1975113
624000	459643	317107	1967711
625000	459608	316997	1978186
626000	457240	314883	1976065
627000	458801	315869	1984972
628000	457512	314436	1984244
629000	451664	309124	1970299
630000	452212	309097	1975814
631000	448798	305567	1973456
632000	448429	305359	1973178
633000	448869	305831	1980327
634000	446364	303697	1978646
635000	450716	307709	1981714
636000	449970	306882	1985671
637000	449688	305671	1987309
638000	451931	308344	1982767
639000	452350	308539	1980046
640000	454354	310472	1984458
641000	452101	307830	1988624
642000	449437	305469	1991455
643000	438698	296128	1969665
644000	434322	292747	1951695
645000	435236	293288	1963706
646000	434627	293136	1950482
647000	436255	293997	1962132
648000	436328	294487	1971833
649000	441360	299351	1979905
650000	443377	301652	1974575
651000	451721	309048	1986097
652000	454997	311763	1994926
653000	454634	310655	2002831
654000	449744	306785	1991422
655000	450841	307796	1991864
656000	447427	304888	1985834
657000	442663	300940	1979281
658000	445175	302857	1981497
660000	444738	302928	1967308
661000	440882	298535	1978873
662000	443587	301136	1971509
663000	440843	298840	1968832
664000	439409	298179	1966956
665000	443735	301839	1969087
666000	443584	301424	1980686
667000	443359	301642	1961561
668000	439805	298772	1954425
669000	438260	298116	1940580
670000	438613	298332	1937654
671000	435718	295650	1930637
672000	432764	292899	1925327
673000	433462	293930	1921296
674000	425108	286791	1904873
675000	424532	286611	1903635
676000	428399	289928	1905951
677000	428105	288963	1926659
678000	428028	288849	1926531
679000	429498	290053	1930431
680000	428868	290179	1929310
681000	432681	293383	1943030
682000	429775	291392	1935345
683000	431293	292385	1940477
684000	432330	293610	1938508
686000	426376	288303	1936166
687000	422367	284443	1935249
688000	424742	287138	1934913
689000	427293	289483	1933245
690000	423888	286637	1926322
691000	418623	281357	1920942
692000	415066	278033	1909279
693000	414251	277904	1907225
694000	415022	278506	1905800
695000	414757	278424	1900741
696000	416992	280418	1904946
697000	418499	281092	1912396
698000	416691	279288	1906503
699000	421511	282930	1924245
700000	424048	284591	1936212
701000	419721	280764	1934191
702000	416521	277509	1929585
703000	420244	280770	1932112
704000	425780	285167	1940650
706000	418907	280116	1920005
707000	420062	281006	1929335
708000	424039	284619	1936473
709000	423335	284005	1948195
710000	427530	287653	1964126
711000	425550	286033	1946626
712000	423472	283911	1953673
713000	419667	280881	1947847
714000	413528	275437	1925561
716000	413512	276467	1921419
717000	412424	275032	1919930
718000	413444	275748	1923046
719000	410870	273439	1929355
720000	408073	270793	1927851
721000	402686	266237	1910419
722000	404431	267582	1920533
723000	410707	273439	1931536
725000	408007	271402	1929796
