Bin	Sum_R2	SumSq_R2	N_Pairs
0	2.08649e+06	1.50866e+06	7783872
0	209619	2177606
1000	1.46329e+06	1.05974e+06	5329480
2000	1.30005e+06	938449	4754287
3000	1.18457e+06	853800	4349063
4000	1.10308e+06	794269	4051485
5000	1.0292e+06	738919	3812723
6000	975539	700089	3605435
7000	928916	666384	3441883
8000	890384	639361	3298855
9000	861434	619018	3187352
10000	847264	608741	3136996
11000	836174	601252	3098138
12000	832835	599370	3071141
13000	818441	588922	3028843
14000	810257	583052	2997265
15000	810421	582614	3006321
16000	803018	577128	2983524
17000	792128	569058	2948326
18000	786169	564399	2925406
19000	783012	561099	2925102
20000	776706	556893	2908281
21000	770995	552829	2887739
22000	767134	549654	2878201
23000	768318	550604	2876993
25000	767502	549668	2870468
26000	765391	547524	2879840
27000	759833	543867	2859393
28000	753330	539016	2830187
29000	751053	536875	2824533
30000	752456	538485	2823132
31000	746966	534171	2806024
33000	745931	533481	2813674
34000	743525	531454	2814222
35000	739665	527909	2807382
36000	734467	524264	2791514
37000	736921	526158	2799040
38000	732724	523252	2773600
39000	729299	520131	2772180
40000	726112	518321	2759828
41000	728662	520845	2759244
42000	729202	520401	2770102
43000	727197	518437	2773123
44000	723028	515144	2763754
45000	722745	514244	2767541
46000	717708	511654	2735542
47000	716845	510778	2742431
48000	711335	505772	2737802
50000	707565	503174	2728181
52000	708960	502389	2755824
53000	704457	499896	2734574
54000	703298	499296	2736937
55000	706666	501279	2757528
56000	702083	498200	2738402
57000	694496	493392	2707822
58000	692555	490936	2703237
59000	693055	489969	2723283
60000	690107	487756	2716340
62000	686269	485007	2697348
63000	687411	485874	2703114
64000	689367	487862	2704803
65000	687130	485032	2716217
66000	685792	484133	2714178
67000	683560	482270	2706358
68000	680856	480346	2692705
69000	679148	479296	2687826
70000	674759	476604	2663159
71000	670228	472751	2655391
72000	666899	470282	2651568
73000	667940	470665	2645409
74000	667020	469990	2642809
75000	662859	466684	2640472
76000	664843	467155	2652754
77000	662094	465419	2645193
78000	664719	467600	2653995
79000	663198	466345	2657208
80000	662719	465740	2652683
81000	661048	464699	2647669
82000	658767	462597	2651366
83000	651680	457514	2630791
84000	650570	455965	2645414
85000	645484	452121	2621047
86000	646484	454084	2613142
88000	640564	448553	2603546
89000	641384	448752	2608834
90000	638593	446427	2600013
91000	635578	444411	2584675
92000	633971	443122	2584601
94000	632247	441557	2583861
95000	628763	439100	2568234
96000	628271	438679	2570792
97000	625668	436522	2563404
98000	625544	436304	2556660
99000	623171	434555	2556429
100000	623584	434359	2575737
101000	622298	432800	2573489
102000	621004	432779	2566686
103000	621023	432697	2561998
105000	622338	433917	2554417
106000	620466	431601	2570086
107000	617554	428936	2564795
108000	619036	430666	2556306
109000	617641	429028	2564013
110000	616540	428401	2555175
111000	612756	425362	2545134
112000	617397	428695	2565996
113000	610775	424389	2537565
114000	612366	424995	2548988
115000	609513	423104	2544932
117000	612317	425273	2543679
118000	615552	427444	2559999
119000	611903	424127	2558736
121000	612621	424874	2569237
122000	612444	424593	2569257
123000	609223	421900	2562383
125000	603234	417943	2528811
126000	603081	417185	2545327
127000	600168	414772	2537910
128000	598781	413848	2532369
129000	596512	411855	2530814
131000	596361	412196	2525477
132000	593244	410367	2498194
133000	592408	409374	2493855
134000	588556	406655	2485006
135000	586243	404701	2486400
136000	584685	403349	2474233
137000	585139	403765	2475151
138000	585715	404577	2476564
139000	582952	402061	2472345
140000	582554	401750	2471287
141000	580113	399750	2479785
142000	579542	398988	2483775
143000	575593	395165	2475979
144000	574842	394080	2481923
146000	574426	394684	2475527
147000	574177	394150	2482017
148000	577006	396194	2485728
149000	575296	394721	2486082
150000	572469	392535	2479885
151000	569148	390225	2466935
152000	568140	389217	2468366
154000	568085	388526	2467025
155000	570180	390149	2472389
156000	570427	389666	2487756
157000	572286	391327	2481326
158000	573938	391686	2491570
159000	574981	392324	2493085
160000	573476	391868	2489352
161000	573039	390987	2495620
162000	571738	390134	2496288
163000	569322	388515	2485199
164000	567846	387275	2479328
165000	566870	386653	2478575
166000	568741	387377	2497499
167000	566943	385945	2491330
168000	565232	384964	2484127
169000	562202	382204	2482110
170000	561232	381989	2480393
171000	560344	380251	2488287
172000	555824	377432	2467367
173000	551207	374038	2453304
174000	548200	372145	2438753
175000	547495	371931	2433703
177000	546702	370901	2441786
178000	550023	372722	2469013
179000	548340	372097	2455657
180000	545159	370338	2437349
181000	543774	369182	2432909
182000	544465	369816	2430197
183000	547075	371724	2442701
184000	550800	373747	2459548
185000	550817	374036	2467498
186000	549269	372464	2471456
187000	546706	371058	2460589
188000	545913	370829	2440241
189000	547437	371509	2450436
190000	544489	369648	2436687
191000	544515	369213	2446191
192000	541322	367631	2422967
193000	538567	364723	2429118
194000	539199	365137	2436443
195000	538317	364805	2425486
196000	537338	364394	2416517
197000	536098	362675	2421491
198000	535828	362751	2416772
199000	535604	362122	2422074
