Bin	Sum_R2	SumSq_R2	N_Pairs
0	2.4379e+06	1.75274e+06	9482381
62	144439	2328661
1000	1.68398e+06	1.2094e+06	6476950
2000	1.46765e+06	1.05084e+06	5714365
3000	1.32694e+06	949713	5198550
4000	1.21368e+06	867176	4790770
5000	1.11725e+06	795690	4459337
6000	1.04326e+06	743298	4177780
7000	987498	702686	3969233
8000	947779	674927	3828764
9000	918708	654825	3699159
10000	897309	639634	3619251
11000	888425	633242	3578689
12000	876288	625031	3529879
13000	870202	620611	3508537
14000	857635	611109	3473966
15000	849208	605881	3419760
16000	845084	603105	3410515
17000	837412	597887	3379674
18000	831543	593193	3362720
19000	822280	587237	3311930
20000	817794	584025	3297271
21000	816350	583189	3301276
22000	811234	579098	3282428
23000	807342	576224	3262363
25000	811381	578593	3296320
26000	805006	574423	3261277
27000	792816	565113	3220260
28000	784475	558288	3204010
29000	779586	554532	3198772
30000	775182	550547	3189283
31000	768823	545721	3183265
33000	766327	543065	3172851
34000	761970	539015	3168296
35000	762466	540133	3168126
36000	763779	540853	3174513
37000	760497	538301	3169391
38000	759293	537190	3176032
39000	754603	533547	3157938
40000	748496	529075	3151184
41000	744017	526048	3131657
42000	743805	525202	3143380
43000	744903	525510	3167352
44000	735913	518936	3131581
45000	733597	517494	3119635
46000	729632	515049	3095726
47000	724460	511145	3083850
48000	724629	511137	3089725
50000	717218	504436	3075155
52000	718317	505116	3070622
53000	715530	503261	3069211
54000	712446	501279	3058883
55000	709809	499415	3059375
56000	710103	498991	3068645
57000	714686	502450	3088480
58000	707197	496816	3074464
59000	703313	495214	3044934
60000	701908	493976	3041827
62000	698419	490777	3035998
63000	694006	487354	3023907
64000	691470	485511	3019854
65000	690292	484404	3019459
66000	690121	484008	3020952
67000	691562	485249	3019613
68000	689502	483466	3021854
69000	685420	480959	2996621
70000	682144	478342	2989338
71000	676677	474354	2973735
72000	674152	471742	2978420
73000	674230	471389	2979435
74000	673569	471330	2974102
75000	668338	467800	2959252
76000	669730	467695	2989670
77000	668556	466802	2989379
78000	665930	464613	2982038
79000	667077	465219	2992926
80000	666345	464503	2994478
81000	667277	465141	3001758
82000	664542	464010	2985446
83000	661816	461488	2977356
84000	656440	458588	2949385
85000	655489	457102	2961872
86000	650986	454295	2938794
88000	643505	448031	2912439
89000	642512	446856	2917810
90000	642132	446666	2910999
91000	638992	444167	2912852
92000	642195	446257	2936886
94000	638888	443739	2923135
95000	640766	444598	2937128
96000	641050	444109	2941266
97000	638007	442850	2927088
98000	635055	440166	2923357
99000	632564	438271	2912973
100000	630310	436534	2909473
101000	628149	434628	2907186
102000	626410	433488	2899633
103000	626479	433662	2903830
105000	614559	424362	2866078
106000	611976	422625	2857997
107000	612012	422823	2861266
108000	608584	420114	2851794
109000	606870	418797	2858596
110000	606807	418764	2854642
111000	604989	417148	2844629
112000	602990	415667	2849991
113000	602031	414632	2855288
114000	600607	413360	2859066
115000	597095	409918	2867396
117000	596316	409246	2857471
118000	602112	414180	2876173
119000	599011	411154	2878072
121000	594028	407257	2853312
122000	592666	407138	2837246
123000	590464	406171	2816535
125000	591577	407316	2816570
126000	588141	404924	2803215
127000	586445	403506	2797793
128000	581885	398663	2800387
129000	582074	398527	2802042
131000	575778	392928	2804761
132000	577432	393595	2811431
133000	578091	394524	2809197
134000	580159	396033	2817371
135000	579829	395576	2825588
136000	583487	398806	2840808
137000	579633	395304	2846966
138000	583308	398592	2849683
139000	580680	395852	2853753
140000	581324	396073	2865498
141000	587280	400975	2886291
142000	582007	396916	2851474
143000	577722	394771	2832284
144000	576201	393320	2841349
146000	569476	387973	2823269
147000	566807	385919	2816281
148000	564385	384645	2811800
149000	566150	385953	2823269
150000	563731	383330	2827003
151000	562380	382846	2819114
152000	558647	380605	2804667
154000	554905	377588	2791360
155000	552408	374865	2781361
156000	549007	371486	2789398
157000	545686	368855	2780805
158000	544225	367729	2768828
159000	544455	367218	2776604
160000	544453	367687	2773878
161000	541480	365793	2770764
162000	541470	365787	2768145
163000	543054	367700	2760126
164000	543924	368058	2767484
165000	541974	366219	2759979
166000	538044	363287	2748776
167000	540639	365327	2761446
168000	539796	363834	2775285
169000	538401	362851	2774924
170000	536515	361295	2770927
171000	532133	357760	2763483
172000	530789	357473	2754306
173000	530199	356991	2751978
174000	528060	355691	2735200
175000	527900	355418	2738699
